		 Counter Testbench  (log saved to 'counter.log')
==    INITIAL  == : RST_ = x	M = x	LD = x	D = xxxx	CE = x	Q = 'bxxxx	CO = x	 Time -:    0.00 ns
== After Reset == : RST_ = 0	M = x	LD = x	D = xxxx	CE = x	Q = 'b0000	CO = 0	 Time -:   20.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1101 (13)	CO = 1	CLK=1	 Time -:  205.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1101 (13)	CO = 1	CLK=0	 Time -:  210.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1100 (12)	CO = 1	CLK=1	 Time -:  215.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1100 (12)	CO = 1	CLK=0	 Time -:  220.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1011 (11)	CO = 1	CLK=1	 Time -:  225.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1011 (11)	CO = 1	CLK=0	 Time -:  230.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1010 (10)	CO = 1	CLK=1	 Time -:  235.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1010 (10)	CO = 1	CLK=0	 Time -:  240.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1001 ( 9)	CO = 1	CLK=1	 Time -:  245.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1001 ( 9)	CO = 1	CLK=0	 Time -:  250.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1000 ( 8)	CO = 1	CLK=1	 Time -:  255.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1000 ( 8)	CO = 1	CLK=0	 Time -:  260.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0111 ( 7)	CO = 1	CLK=1	 Time -:  265.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0111 ( 7)	CO = 1	CLK=0	 Time -:  270.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0110 ( 6)	CO = 1	CLK=1	 Time -:  275.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0110 ( 6)	CO = 1	CLK=0	 Time -:  280.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0101 ( 5)	CO = 1	CLK=1	 Time -:  285.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0101 ( 5)	CO = 1	CLK=0	 Time -:  290.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0100 ( 4)	CO = 1	CLK=1	 Time -:  295.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0100 ( 4)	CO = 1	CLK=0	 Time -:  300.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0011 ( 3)	CO = 1	CLK=1	 Time -:  305.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0011 ( 3)	CO = 1	CLK=0	 Time -:  310.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0010 ( 2)	CO = 1	CLK=1	 Time -:  315.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0010 ( 2)	CO = 1	CLK=0	 Time -:  320.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0001 ( 1)	CO = 1	CLK=1	 Time -:  325.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0001 ( 1)	CO = 1	CLK=0	 Time -:  330.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=1	 Time -:  335.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 1	D = 1010	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=0	 Time -:  340.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 1	D = 1010	CE = 1	Q = 'b1010 (10)	CO = 0	CLK=1	 Time -:  345.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1010 (10)	CO = 0	CLK=0	 Time -:  350.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1001 ( 9)	CO = 0	CLK=1	 Time -:  355.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1001 ( 9)	CO = 0	CLK=0	 Time -:  360.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1000 ( 8)	CO = 0	CLK=1	 Time -:  365.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 1010	CE = 1	Q = 'b1000 ( 8)	CO = 0	CLK=0	 Time -:  370.00 ns
